student_id,skill_id,proficiency
S0103,SK013,intermediate
S0103,SK015,beginner
S0103,SK005,intermediate
S0103,SK004,intermediate
S0104,SK007,intermediate
S0104,SK037,advanced
S0105,SK039,advanced
S0105,SK040,advanced
S0105,SK008,advanced
S0105,SK027,intermediate
S0105,SK012,advanced
S0106,SK007,beginner
S0106,SK001,intermediate
S0106,SK035,advanced
S0106,SK025,intermediate
S0106,SK006,beginner
S0107,SK010,intermediate
S0107,SK008,intermediate
S0107,SK013,advanced
S0107,SK001,beginner
S0108,SK001,beginner
S0108,SK014,beginner
S0109,SK025,intermediate
S0109,SK014,advanced
S0109,SK001,intermediate
S0109,SK009,intermediate
S0111,SK001,intermediate
S0111,SK039,advanced
S0111,SK008,beginner
S0111,SK043,beginner
S0111,SK007,advanced
S0112,SK008,advanced
S0112,SK007,intermediate
S0112,SK009,intermediate
S0112,SK026,advanced
S0112,SK029,beginner
S0113,SK004,beginner
S0113,SK022,advanced
S0113,SK005,beginner
S0113,SK013,beginner
S0113,SK015,beginner
S0113,SK023,beginner
S0113,SK017,intermediate
S0113,SK024,intermediate
S0113,SK016,advanced
S0114,SK015,advanced
S0114,SK014,intermediate
S0114,SK037,advanced
S0114,SK019,intermediate
S0115,SK001,beginner
S0115,SK037,advanced
S0115,SK039,advanced
S0115,SK041,intermediate
S0115,SK044,intermediate
S0115,SK042,advanced
S0115,SK043,advanced
S0115,SK010,intermediate
S0116,SK025,beginner
S0116,SK014,intermediate
S0116,SK026,intermediate
S0116,SK017,advanced
S0117,SK014,beginner
S0117,SK026,advanced
S0117,SK029,intermediate
S0117,SK027,advanced
S0117,SK028,advanced
S0117,SK041,beginner
S0118,SK001,beginner
S0118,SK037,advanced
S0118,SK008,beginner
S0118,SK044,intermediate
S0118,SK043,intermediate
S0119,SK004,intermediate
S0119,SK005,intermediate
S0119,SK023,advanced
S0119,SK002,intermediate
S0120,SK001,intermediate
S0120,SK013,beginner
S0120,SK007,advanced
S0121,SK022,intermediate
S0121,SK007,beginner
S0121,SK041,beginner
S0121,SK038,intermediate
S0122,SK008,beginner
S0122,SK009,advanced
S0122,SK001,advanced
S0122,SK015,beginner
S0122,SK011,beginner
S0122,SK035,beginner
S0123,SK007,advanced
S0123,SK001,intermediate
S0123,SK027,advanced
S0123,SK008,beginner
S0124,SK007,beginner
S0124,SK037,beginner
S0124,SK008,intermediate
S0124,SK013,beginner
S0125,SK001,intermediate
S0125,SK013,advanced
S0125,SK007,intermediate
S0125,SK031,intermediate
S0125,SK023,beginner
S0126,SK004,beginner
S0126,SK022,beginner
S0126,SK023,intermediate
S0126,SK028,intermediate
S0126,SK012,advanced
S0127,SK004,beginner
S0127,SK013,beginner
S0127,SK035,advanced
S0128,SK010,beginner
S0128,SK008,beginner
S0128,SK013,intermediate
S0128,SK011,beginner
S0128,SK001,advanced
S0128,SK025,intermediate
S0128,SK016,advanced
S0129,SK007,intermediate
S0129,SK034,beginner
S0129,SK012,advanced
S0129,SK027,intermediate
S0129,SK008,beginner
S0130,SK001,advanced
S0130,SK008,beginner
S0130,SK029,intermediate
S0130,SK045,beginner
S0131,SK004,beginner
S0131,SK022,intermediate
S0131,SK005,advanced
S0131,SK008,intermediate
S0131,SK016,advanced
S0132,SK002,advanced
S0132,SK008,intermediate
S0132,SK034,beginner
S0132,SK004,advanced
S0133,SK015,beginner
S0133,SK007,beginner
S0134,SK007,intermediate
S0134,SK001,beginner
S0135,SK013,advanced
S0135,SK021,intermediate
S0136,SK001,beginner
S0136,SK038,intermediate
S0136,SK008,intermediate
S0136,SK007,advanced
S0136,SK041,beginner
S0136,SK027,advanced
S0136,SK034,beginner
S0136,SK030,advanced
S0137,SK025,advanced
S0138,SK007,advanced
S0138,SK001,advanced
S0138,SK037,advanced
S0138,SK013,advanced
S0138,SK002,beginner
S0138,SK046,beginner
S0139,SK007,advanced
S0139,SK013,intermediate
S0140,SK001,advanced
S0140,SK037,intermediate
S0140,SK041,advanced
S0140,SK044,beginner
S0140,SK042,intermediate
S0140,SK027,intermediate
S0141,SK025,advanced
S0141,SK014,beginner
S0141,SK026,beginner
S0141,SK029,advanced
S0141,SK001,intermediate
S0141,SK011,beginner
S0141,SK041,beginner
S0141,SK033,intermediate
S0142,SK003,beginner
S0142,SK014,beginner
S0142,SK007,advanced
S0142,SK004,advanced
S0143,SK008,beginner
S0143,SK001,beginner
S0143,SK015,beginner
S0143,SK004,beginner
S0143,SK035,advanced
S0143,SK039,intermediate
S0144,SK013,intermediate
S0144,SK024,advanced
S0145,SK011,advanced
S0145,SK013,beginner
S0145,SK031,beginner
S0146,SK004,beginner
S0146,SK046,intermediate
S0146,SK017,beginner
S0147,SK045,advanced
S0147,SK008,advanced
S0147,SK035,beginner
S0147,SK002,beginner
S0148,SK008,advanced
S0148,SK007,beginner
S0148,SK001,advanced
S0148,SK035,intermediate
S0148,SK023,advanced
S0149,SK004,advanced
S0149,SK046,advanced
S0149,SK008,advanced
S0149,SK037,advanced
S0149,SK028,intermediate
S0150,SK003,beginner
S0150,SK010,intermediate
S0151,SK008,beginner
S0151,SK007,intermediate
S0151,SK009,advanced
S0151,SK015,intermediate
S0151,SK003,intermediate
S0151,SK004,advanced
S0151,SK036,beginner
S0152,SK004,advanced
S0152,SK013,beginner
S0152,SK005,advanced
S0152,SK001,intermediate
S0152,SK015,intermediate
S0153,SK001,beginner
S0153,SK037,advanced
S0153,SK040,intermediate
S0153,SK008,beginner
S0153,SK007,advanced
S0153,SK025,advanced
S0153,SK044,beginner
S0153,SK042,beginner
S0153,SK038,advanced
S0153,SK032,intermediate
S0154,SK010,intermediate
S0154,SK014,intermediate
S0154,SK008,beginner
S0154,SK003,advanced
S0155,SK007,intermediate
S0155,SK036,intermediate
S0155,SK014,beginner
S0155,SK020,intermediate
S0156,SK008,intermediate
S0156,SK002,intermediate
S0156,SK009,intermediate
S0156,SK022,intermediate
S0156,SK025,intermediate
S0156,SK001,intermediate
S0157,SK004,advanced
S0157,SK016,intermediate
S0157,SK045,intermediate
S0157,SK046,advanced
S0158,SK025,beginner
S0158,SK014,beginner
S0158,SK029,advanced
S0158,SK027,advanced
S0158,SK013,advanced
S0158,SK030,advanced
S0158,SK011,intermediate
S0158,SK009,advanced
S0158,SK044,intermediate
S0159,SK004,beginner
S0159,SK022,beginner
S0159,SK015,intermediate
S0159,SK008,advanced
S0159,SK025,advanced
S0160,SK001,beginner
S0160,SK037,intermediate
S0160,SK039,intermediate
S0161,SK008,beginner
S0161,SK007,intermediate
S0161,SK009,beginner
S0161,SK004,intermediate
S0161,SK029,beginner
S0161,SK017,advanced
S0162,SK004,beginner
S0162,SK022,beginner
S0162,SK015,beginner
S0162,SK009,intermediate
S0162,SK024,intermediate
S0162,SK044,beginner
S0163,SK007,advanced
S0163,SK031,beginner
S0164,SK025,intermediate
S0164,SK014,intermediate
S0164,SK026,beginner
S0164,SK029,beginner
S0164,SK027,advanced
S0164,SK001,intermediate
S0164,SK011,beginner
S0164,SK009,beginner
S0165,SK004,intermediate
S0165,SK022,beginner
S0165,SK005,advanced
S0165,SK013,advanced
S0165,SK008,beginner
S0166,SK007,beginner
S0166,SK034,intermediate
S0166,SK036,beginner
S0166,SK031,intermediate
S0166,SK027,beginner
S0167,SK001,intermediate
S0167,SK007,advanced
S0168,SK004,beginner
S0168,SK046,intermediate
S0168,SK001,intermediate
S0168,SK028,advanced
S0169,SK001,advanced
S0169,SK007,advanced
S0169,SK031,beginner
S0169,SK032,advanced
S0170,SK001,intermediate
S0170,SK014,beginner
S0171,SK008,intermediate
S0171,SK015,advanced
S0172,SK008,advanced
S0172,SK015,beginner
S0172,SK026,beginner
S0172,SK006,beginner
S0173,SK008,intermediate
S0173,SK007,intermediate
S0173,SK001,beginner
S0173,SK013,intermediate
S0173,SK015,advanced
S0173,SK025,intermediate
S0174,SK008,intermediate
S0174,SK002,beginner
S0174,SK009,beginner
S0174,SK015,advanced
S0174,SK019,beginner
S0175,SK007,intermediate
S0175,SK001,advanced
S0175,SK034,advanced
S0175,SK036,advanced
S0175,SK035,advanced
S0175,SK025,beginner
S0175,SK014,beginner
S0175,SK031,beginner
S0175,SK038,advanced
S0176,SK015,intermediate
S0176,SK008,intermediate
S0176,SK023,intermediate
S0176,SK046,intermediate
S0177,SK045,advanced
S0177,SK013,advanced
S0177,SK008,advanced
S0177,SK009,intermediate
S0177,SK026,intermediate
S0178,SK001,intermediate
S0178,SK040,advanced
S0178,SK038,advanced
S0178,SK027,advanced
S0179,SK007,advanced
S0179,SK001,advanced
S0179,SK037,advanced
S0179,SK012,intermediate
S0179,SK038,intermediate
S0179,SK022,intermediate
S0180,SK008,beginner
S0180,SK007,advanced
S0180,SK002,advanced
S0180,SK009,beginner
S0180,SK001,beginner
S0180,SK012,advanced
S0180,SK023,intermediate
S0181,SK008,beginner
S0181,SK046,intermediate
S0181,SK021,intermediate
S0181,SK031,advanced
S0182,SK013,intermediate
S0182,SK040,advanced
S0183,SK004,advanced
S0183,SK013,beginner
S0183,SK007,intermediate
S0184,SK022,advanced
S0184,SK005,beginner
S0184,SK013,advanced
S0184,SK015,intermediate
S0184,SK023,beginner
S0184,SK016,intermediate
S0185,SK011,advanced
S0185,SK014,advanced
S0186,SK001,beginner
S0186,SK037,beginner
S0186,SK040,intermediate
S0186,SK008,beginner
S0186,SK007,intermediate
S0186,SK041,beginner
S0187,SK007,beginner
S0188,SK004,beginner
S0188,SK022,beginner
S0188,SK005,intermediate
S0188,SK015,beginner
S0188,SK033,advanced
S0188,SK019,intermediate
S0189,SK001,beginner
S0189,SK013,beginner
S0189,SK008,intermediate
S0189,SK044,intermediate
S0189,SK046,advanced
S0190,SK008,intermediate
S0190,SK007,advanced
S0190,SK002,intermediate
S0190,SK013,beginner
S0190,SK012,intermediate
S0190,SK027,advanced
S0190,SK006,beginner
S0190,SK035,advanced
S0191,SK008,intermediate
S0191,SK007,advanced
S0191,SK002,beginner
S0191,SK012,beginner
S0191,SK030,advanced
S0191,SK032,intermediate
S0192,SK007,advanced
S0192,SK015,beginner
S0192,SK008,beginner
S0192,SK016,advanced
S0193,SK007,intermediate
S0193,SK037,beginner
S0193,SK012,beginner
S0193,SK021,beginner
S0194,SK004,beginner
S0194,SK007,beginner
S0194,SK015,advanced
S0194,SK008,advanced
S0194,SK013,intermediate
S0195,SK003,beginner
S0195,SK010,advanced
S0195,SK008,advanced
S0195,SK001,intermediate
S0195,SK032,beginner
S0196,SK014,advanced
S0196,SK008,advanced
S0196,SK013,advanced
S0196,SK011,intermediate
S0196,SK001,beginner
S0196,SK004,intermediate
S0197,SK007,intermediate
S0197,SK046,intermediate
S0197,SK038,intermediate
S0197,SK001,advanced
S0198,SK025,beginner
S0198,SK029,beginner
S0198,SK013,advanced
S0198,SK030,beginner
S0198,SK001,advanced
S0198,SK011,intermediate
S0199,SK001,advanced
S0199,SK039,beginner
S0199,SK040,intermediate
S0199,SK038,advanced
S0199,SK007,advanced
S0199,SK042,advanced
S0199,SK037,beginner
S0200,SK013,advanced
S0200,SK022,advanced
S0201,SK008,advanced
S0201,SK022,beginner
S0202,SK008,intermediate
S0202,SK007,advanced
S0202,SK009,beginner
S0202,SK003,advanced
S0202,SK029,intermediate
S0203,SK001,advanced
S0204,SK001,intermediate
S0204,SK039,advanced
S0204,SK040,advanced
S0204,SK038,beginner
S0204,SK008,beginner
S0204,SK007,advanced
S0204,SK044,advanced
S0204,SK027,advanced
S0204,SK035,advanced
S0205,SK015,advanced
S0206,SK025,intermediate
S0206,SK026,intermediate
S0206,SK029,intermediate
S0206,SK027,beginner
S0206,SK028,intermediate
S0206,SK045,advanced
S0206,SK010,intermediate
S0207,SK013,intermediate
S0207,SK008,intermediate
S0207,SK022,advanced
S0207,SK005,advanced
S0207,SK007,beginner
S0208,SK026,advanced
S0208,SK029,advanced
S0208,SK027,beginner
S0208,SK043,intermediate
S0208,SK034,intermediate
S0209,SK008,advanced
S0209,SK007,intermediate
S0209,SK009,beginner
S0209,SK001,beginner
S0209,SK015,advanced
S0209,SK003,intermediate
S0209,SK019,advanced
S0210,SK010,beginner
S0211,SK007,beginner
S0211,SK036,beginner
S0211,SK012,advanced
S0211,SK035,advanced
S0211,SK025,intermediate
S0211,SK014,intermediate
S0212,SK008,advanced
S0212,SK007,beginner
S0212,SK001,intermediate
S0212,SK010,intermediate
S0212,SK022,beginner
S0213,SK002,advanced
S0213,SK013,intermediate
S0213,SK014,beginner
S0213,SK045,intermediate
S0214,SK004,intermediate
S0214,SK022,advanced
S0214,SK013,beginner
S0214,SK015,intermediate
S0214,SK023,advanced
S0214,SK046,advanced
S0214,SK017,advanced
S0215,SK008,advanced
S0215,SK001,advanced
S0215,SK027,beginner
S0215,SK033,intermediate
S0216,SK001,beginner
S0216,SK039,beginner
S0216,SK040,intermediate
S0216,SK038,intermediate
S0216,SK008,beginner
S0216,SK007,intermediate
S0216,SK028,intermediate
S0217,SK008,advanced
S0217,SK007,beginner
S0217,SK002,beginner
S0217,SK013,beginner
S0217,SK015,advanced
S0217,SK027,intermediate
S0217,SK023,beginner
S0218,SK015,advanced
S0218,SK031,advanced
S0218,SK017,intermediate
S0219,SK022,advanced
S0219,SK015,intermediate
S0219,SK008,beginner
S0219,SK016,beginner
S0220,SK008,beginner
S0220,SK009,intermediate
