placement_id,student_id,role_id,company_id,year,outcome,package_lpa
P0128,S0061,R0128,C010,2022,placed,16.46
P0129,S0063,R0129,C028,2022,placed,20.21
P0130,S0141,R0130,C030,2022,placed,25.82
P0131,S0158,R0131,C001,2026,not_placed,
P0132,S0164,R0132,C015,2023,placed,22.95
P0133,S0019,R0133,C030,2023,placed,20.8
P0134,S0042,R0134,C017,2022,placed,26.73
P0135,S0061,R0135,C023,2026,not_placed,
P0136,S0063,R0136,C011,2025,placed,6.97
P0137,S0141,R0137,C003,2025,not_placed,
P0138,S0158,R0138,C004,2026,not_placed,
P0139,S0164,R0139,C029,2023,placed,28.77
P0140,S0019,R0140,C018,2024,placed,19.2
P0141,S0042,R0141,C030,2026,not_placed,
P0142,S0061,R0142,C030,2026,not_placed,
P0143,S0063,R0143,C027,2025,placed,18.2
P0144,S0141,R0144,C006,2023,placed,20.9
P0145,S0158,R0145,C018,2023,placed,28.61
P0146,S0132,R0146,C008,2023,placed,27.76
P0147,S0213,R0147,C026,2022,not_placed,
P0148,S0098,R0148,C023,2026,placed,26.29
P0149,S0101,R0149,C008,2023,placed,15.35
P0150,S0132,R0150,C011,2024,not_placed,
P0151,S0213,R0151,C030,2026,not_placed,
P0152,S0098,R0152,C016,2025,placed,9.37
P0153,S0101,R0153,C015,2023,placed,12.94
P0154,S0132,R0154,C016,2024,placed,13.73
P0155,S0213,R0155,C025,2022,not_placed,
P0156,S0098,R0156,C001,2024,placed,16.47
P0157,S0101,R0157,C027,2026,placed,13.83
P0158,S0132,R0158,C030,2022,not_placed,
P0159,S0213,R0159,C022,2024,placed,6.07
P0160,S0098,R0160,C015,2024,placed,15.99
P0161,S0101,R0161,C025,2022,placed,19.79
P0162,S0135,R0162,C023,2026,placed,9.81
P0163,S0167,R0163,C004,2023,placed,7.89
P0164,S0006,R0164,C021,2024,placed,21.45
P0165,S0108,R0165,C008,2025,not_placed,
P0166,S0135,R0166,C013,2026,placed,19.31
P0167,S0167,R0167,C017,2026,placed,14.85
P0168,S0006,R0168,C015,2023,not_placed,
P0169,S0108,R0169,C014,2022,placed,14.14
P0170,S0135,R0170,C024,2026,placed,18.11
P0171,S0167,R0171,C018,2026,placed,10.14
P0172,S0006,R0172,C020,2023,not_placed,
P0173,S0108,R0173,C009,2024,placed,11.5
P0174,S0135,R0174,C024,2024,not_placed,
P0175,S0167,R0175,C020,2024,placed,7.24
P0176,S0052,R0176,C007,2022,not_placed,
P0177,S0078,R0177,C011,2025,not_placed,
P0178,S0099,R0178,C003,2023,placed,11
P0179,S0196,R0179,C003,2026,not_placed,
P0180,S0052,R0180,C001,2023,placed,15.09
P0181,S0078,R0181,C024,2022,placed,10.74
P0182,S0099,R0182,C022,2025,not_placed,
P0183,S0196,R0183,C028,2025,placed,23.33
P0184,S0052,R0184,C030,2025,not_placed,
P0185,S0078,R0185,C023,2023,not_placed,
P0186,S0099,R0186,C007,2024,placed,15.97
P0187,S0196,R0187,C006,2022,not_placed,
P0188,S0052,R0188,C008,2024,placed,21.08
P0189,S0078,R0189,C006,2023,not_placed,
P0190,S0099,R0190,C015,2023,placed,16.75
P0191,S0034,R0191,C007,2022,placed,26.97
P0192,S0087,R0192,C023,2023,not_placed,
P0193,S0094,R0193,C011,2024,not_placed,
P0194,S0121,R0194,C024,2023,placed,12.38
P0195,S0192,R0195,C022,2022,placed,6.19
P0196,S0007,R0196,C001,2022,not_placed,
P0197,S0021,R0197,C002,2025,placed,18.49
P0198,S0034,R0198,C006,2023,placed,26.3
P0199,S0087,R0199,C007,2022,not_placed,
P0200,S0094,R0200,C002,2022,not_placed,
P0201,S0121,R0201,C008,2024,placed,19.89
P0202,S0192,R0202,C025,2022,placed,7.13
P0203,S0007,R0203,C021,2025,placed,15.52
P0204,S0021,R0204,C015,2022,not_placed,
