role_id,skill_id,importance
R0029,SK009,core
R0029,SK001,core
R0029,SK013,preferred
R0029,SK025,preferred
R0030,SK008,core
R0030,SK007,core
R0030,SK009,core
R0030,SK001,core
R0030,SK012,preferred
R0030,SK011,preferred
R0031,SK008,core
R0031,SK007,core
R0031,SK002,core
R0031,SK013,preferred
R0031,SK025,preferred
R0032,SK008,core
R0032,SK007,core
R0032,SK002,core
R0032,SK001,core
R0032,SK013,preferred
R0032,SK015,preferred
R0032,SK011,preferred
R0033,SK008,core
R0033,SK009,core
R0033,SK001,core
R0033,SK013,preferred
R0033,SK027,preferred
R0034,SK008,core
R0034,SK007,core
R0034,SK013,preferred
R0034,SK015,preferred
R0035,SK008,core
R0035,SK007,core
R0035,SK003,preferred
R0035,SK011,preferred
R0035,SK022,preferred
R0036,SK008,core
R0036,SK007,core
R0036,SK002,core
R0036,SK009,core
R0036,SK001,core
R0036,SK015,preferred
R0036,SK012,preferred
R0036,SK004,preferred
R0036,SK014,preferred
R0037,SK008,core
R0037,SK007,core
R0037,SK001,core
R0037,SK013,preferred
R0037,SK011,preferred
R0037,SK004,preferred
R0037,SK014,preferred
R0038,SK008,core
R0038,SK009,core
R0038,SK015,preferred
R0038,SK027,preferred
R0039,SK008,core
R0039,SK002,core
R0039,SK009,core
R0039,SK013,preferred
R0039,SK015,preferred
R0039,SK010,preferred
R0040,SK008,core
R0040,SK002,core
R0040,SK001,core
R0040,SK013,preferred
R0040,SK015,preferred
R0040,SK010,preferred
R0040,SK022,preferred
R0041,SK007,core
R0041,SK003,preferred
R0041,SK027,preferred
R0042,SK002,core
R0042,SK009,core
R0042,SK001,core
R0042,SK015,preferred
R0042,SK003,preferred
R0042,SK025,preferred
R0042,SK029,preferred
R0043,SK008,core
R0043,SK007,core
R0043,SK002,core
R0043,SK009,core
R0043,SK001,core
R0043,SK013,preferred
R0043,SK010,preferred
R0043,SK025,preferred
R0043,SK022,preferred
R0044,SK004,core
R0044,SK022,core
R0044,SK009,preferred
R0044,SK046,preferred
R0044,SK016,preferred
R0045,SK022,core
R0045,SK005,core
R0045,SK013,core
R0045,SK015,core
R0045,SK023,preferred
R0046,SK004,core
R0046,SK005,core
R0046,SK008,core
R0046,SK023,preferred
R0046,SK009,preferred
R0047,SK004,core
R0047,SK022,core
R0047,SK005,core
R0047,SK015,core
R0047,SK023,preferred
R0048,SK004,core
R0048,SK022,core
R0048,SK005,core
R0048,SK013,core
R0048,SK023,preferred
R0048,SK046,preferred
R0049,SK004,core
R0049,SK022,core
R0049,SK005,core
R0049,SK013,core
R0049,SK015,core
R0049,SK025,preferred
R0050,SK004,core
R0050,SK022,core
R0050,SK005,core
R0050,SK015,core
R0050,SK008,core
R0051,SK004,core
R0051,SK022,core
R0051,SK005,core
R0051,SK013,core
R0051,SK015,core
R0051,SK008,core
R0051,SK009,preferred
R0051,SK024,preferred
R0052,SK004,core
R0052,SK022,core
R0052,SK013,core
R0052,SK015,core
R0052,SK008,core
R0052,SK017,preferred
R0052,SK016,preferred
R0053,SK004,core
R0053,SK022,core
R0053,SK005,core
R0053,SK013,core
R0053,SK015,core
R0053,SK023,preferred
R0053,SK016,preferred
R0054,SK004,core
R0054,SK013,core
R0054,SK015,core
R0054,SK017,preferred
R0054,SK016,preferred
R0054,SK025,preferred
R0055,SK004,core
R0055,SK022,core
R0055,SK005,core
R0055,SK009,preferred
R0055,SK017,preferred
R0055,SK025,preferred
R0056,SK004,core
R0056,SK022,core
R0056,SK005,core
R0056,SK013,core
R0056,SK015,core
R0056,SK008,core
R0056,SK023,preferred
R0056,SK024,preferred
R0057,SK004,core
R0057,SK022,core
R0057,SK013,core
R0057,SK024,preferred
R0057,SK025,preferred
R0058,SK004,core
R0058,SK022,core
R0058,SK023,preferred
R0058,SK046,preferred
R0059,SK004,core
R0059,SK022,core
R0059,SK005,core
R0059,SK013,core
R0059,SK017,preferred
R0060,SK004,core
R0060,SK022,core
R0060,SK013,core
R0060,SK015,core
R0060,SK023,preferred
R0060,SK017,preferred
R0061,SK022,core
R0061,SK005,core
R0061,SK013,core
R0061,SK023,preferred
R0061,SK017,preferred
R0061,SK024,preferred
R0061,SK016,preferred
R0061,SK025,preferred
R0062,SK004,core
R0062,SK005,core
R0062,SK013,core
R0062,SK015,core
R0062,SK023,preferred
R0062,SK009,preferred
R0062,SK046,preferred
R0062,SK017,preferred
R0063,SK004,core
R0063,SK013,core
R0063,SK015,core
R0063,SK023,preferred
R0063,SK046,preferred
R0063,SK024,preferred
R0063,SK025,preferred
R0064,SK004,core
R0064,SK005,core
R0064,SK013,core
R0064,SK015,core
R0064,SK008,core
R0064,SK016,preferred
R0065,SK004,core
R0065,SK022,core
R0065,SK005,core
R0065,SK015,core
R0065,SK023,preferred
R0065,SK046,preferred
R0065,SK017,preferred
R0066,SK004,core
R0066,SK022,core
R0066,SK005,core
R0066,SK013,core
R0066,SK009,preferred
R0066,SK025,preferred
R0067,SK022,core
R0067,SK013,core
R0067,SK015,core
R0067,SK008,core
R0067,SK017,preferred
R0067,SK025,preferred
R0068,SK007,core
R0068,SK001,core
R0068,SK034,core
R0068,SK012,preferred
R0069,SK007,core
R0069,SK036,preferred
R0069,SK012,preferred
R0069,SK035,preferred
R0069,SK027,preferred
R0070,SK007,core
R0070,SK001,core
R0070,SK036,preferred
R0070,SK035,preferred
R0070,SK008,preferred
R0071,SK001,core
R0071,SK034,core
R0071,SK012,preferred
R0071,SK035,preferred
R0071,SK008,preferred
R0071,SK032,preferred
R0072,SK007,core
R0072,SK001,core
R0072,SK034,core
R0072,SK012,preferred
R0072,SK008,preferred
R0073,SK007,core
R0073,SK001,core
R0073,SK034,core
R0073,SK012,preferred
R0073,SK035,preferred
R0073,SK027,preferred
R0073,SK025,preferred
R0074,SK007,core
R0074,SK001,core
R0074,SK034,core
R0074,SK032,preferred
R0075,SK007,core
R0075,SK034,core
R0075,SK036,preferred
R0075,SK012,preferred
R0075,SK025,preferred
R0075,SK008,preferred
R0076,SK007,core
R0076,SK001,core
R0076,SK034,core
R0076,SK008,preferred
R0076,SK014,preferred
R0077,SK007,core
R0077,SK001,core
R0077,SK034,core
R0077,SK035,preferred
R0077,SK014,preferred
R0078,SK007,core
R0078,SK001,core
R0078,SK034,core
R0078,SK025,preferred
R0078,SK008,preferred
R0078,SK014,preferred
R0079,SK007,core
R0079,SK001,core
R0079,SK034,core
R0079,SK035,preferred
R0079,SK031,preferred
R0079,SK014,preferred
R0080,SK007,core
R0080,SK001,core
R0080,SK008,preferred
R0081,SK007,core
R0081,SK001,core
R0081,SK034,core
R0081,SK036,preferred
R0081,SK027,preferred
R0081,SK014,preferred
R0081,SK032,preferred
R0082,SK007,core
R0082,SK001,core
R0082,SK034,core
R0082,SK012,preferred
R0082,SK008,preferred
R0083,SK007,core
R0083,SK034,core
R0083,SK012,preferred
R0083,SK035,preferred
R0083,SK031,preferred
R0083,SK025,preferred
R0084,SK007,core
R0084,SK001,core
R0084,SK036,preferred
R0084,SK031,preferred
R0084,SK014,preferred
R0085,SK007,core
R0085,SK034,core
R0085,SK036,preferred
R0085,SK012,preferred
R0085,SK035,preferred
R0085,SK031,preferred
R0085,SK027,preferred
R0085,SK032,preferred
R0086,SK007,core
R0086,SK034,core
R0086,SK035,preferred
R0086,SK031,preferred
R0086,SK008,preferred
R0087,SK007,core
R0087,SK034,core
R0087,SK036,preferred
R0087,SK031,preferred
R0087,SK027,preferred
R0088,SK039,core
R0088,SK040,core
R0088,SK038,core
R0088,SK008,core
R0088,SK043,preferred
R0089,SK001,core
R0089,SK039,core
R0089,SK040,core
R0089,SK038,core
R0089,SK008,core
R0089,SK007,preferred
R0089,SK041,preferred
R0089,SK042,preferred
R0089,SK043,preferred
R0089,SK027,preferred
R0090,SK001,core
R0090,SK039,core
R0090,SK041,preferred
R0090,SK042,preferred
R0091,SK001,core
R0091,SK039,core
R0091,SK041,preferred
R0091,SK025,preferred
R0092,SK001,core
R0092,SK037,core
R0092,SK039,core
R0092,SK038,core
R0093,SK001,core
R0093,SK037,core
R0093,SK041,preferred
R0093,SK025,preferred
R0093,SK027,preferred
R0094,SK001,core
R0094,SK037,core
R0094,SK039,core
R0094,SK038,core
R0094,SK008,core
R0094,SK007,preferred
R0094,SK042,preferred
R0094,SK027,preferred
R0095,SK039,core
R0095,SK007,preferred
R0095,SK041,preferred
R0095,SK044,preferred
R0096,SK001,core
R0096,SK037,core
R0096,SK039,core
R0096,SK038,core
R0096,SK008,core
R0096,SK007,preferred
R0096,SK042,preferred
R0096,SK043,preferred
R0097,SK001,core
R0097,SK038,core
R0097,SK008,core
R0097,SK007,preferred
R0097,SK041,preferred
R0098,SK039,core
R0098,SK038,core
R0098,SK007,preferred
R0098,SK041,preferred
R0098,SK025,preferred
R0098,SK042,preferred
R0099,SK001,core
R0099,SK039,core
R0099,SK007,preferred
R0099,SK044,preferred
R0100,SK001,core
R0100,SK037,core
R0100,SK040,core
R0100,SK008,core
R0100,SK041,preferred
R0100,SK025,preferred
R0100,SK042,preferred
R0100,SK043,preferred
R0101,SK001,core
R0101,SK037,core
R0101,SK040,core
R0101,SK007,preferred
R0101,SK043,preferred
R0102,SK037,core
R0102,SK039,core
R0102,SK038,core
R0102,SK043,preferred
R0103,SK001,core
R0103,SK040,core
R0103,SK025,preferred
R0104,SK001,core
R0104,SK037,core
R0104,SK039,core
R0104,SK044,preferred
R0104,SK043,preferred
R0105,SK001,core
R0105,SK039,core
R0105,SK040,core
R0105,SK038,core
R0105,SK025,preferred
R0105,SK043,preferred
R0106,SK001,core
R0106,SK039,core
R0106,SK038,core
R0107,SK001,core
R0107,SK037,core
R0107,SK039,core
R0107,SK038,core
R0107,SK007,preferred
R0107,SK042,preferred
R0108,SK001,core
R0108,SK040,core
R0108,SK007,preferred
R0108,SK025,preferred
R0109,SK001,core
R0109,SK037,core
R0109,SK040,core
R0109,SK008,core
R0109,SK007,preferred
R0110,SK007,core
R0110,SK037,core
R0110,SK038,preferred
R0110,SK008,preferred
R0110,SK013,preferred
R0111,SK007,core
R0111,SK037,core
R0111,SK008,preferred
R0112,SK007,core
R0112,SK001,core
R0112,SK012,preferred
R0113,SK001,core
R0113,SK037,core
R0113,SK012,preferred
R0113,SK008,preferred
R0114,SK007,core
R0114,SK001,core
R0114,SK012,preferred
R0114,SK046,preferred
R0115,SK001,core
R0115,SK012,preferred
R0115,SK013,preferred
R0116,SK007,core
R0116,SK001,core
R0116,SK037,core
R0116,SK012,preferred
R0116,SK008,preferred
R0116,SK013,preferred
R0117,SK037,core
R0117,SK012,preferred
R0117,SK046,preferred
R0118,SK007,core
R0118,SK001,core
R0118,SK012,preferred
R0118,SK038,preferred
R0119,SK007,core
R0119,SK001,core
R0119,SK012,preferred
R0119,SK013,preferred
R0120,SK007,core
R0120,SK037,core
R0120,SK012,preferred
R0120,SK038,preferred
R0120,SK008,preferred
R0120,SK046,preferred
R0121,SK007,core
R0121,SK001,core
R0121,SK038,preferred
R0121,SK008,preferred
R0122,SK007,core
R0122,SK037,core
R0122,SK012,preferred
R0122,SK013,preferred
R0123,SK007,core
R0123,SK001,core
R0123,SK037,core
R0123,SK008,preferred
R0123,SK013,preferred
R0124,SK007,core
R0124,SK001,core
R0124,SK037,core
R0124,SK013,preferred
R0125,SK007,core
R0125,SK001,core
R0125,SK037,core
R0125,SK012,preferred
R0125,SK038,preferred
R0126,SK007,core
R0126,SK001,core
R0126,SK037,core
R0126,SK012,preferred
R0126,SK038,preferred
R0127,SK007,core
R0127,SK001,core
R0127,SK038,preferred
R0127,SK013,preferred
R0127,SK046,preferred
R0128,SK025,core
R0128,SK014,core
R0128,SK026,core
R0128,SK029,core
R0128,SK027,core
R0128,SK013,core
R0129,SK025,core
R0129,SK014,core
R0129,SK026,core
R0129,SK029,core
R0129,SK027,core
R0129,SK013,core
R0129,SK030,preferred
R0130,SK014,core
R0130,SK027,core
R0130,SK013,core
R0130,SK030,preferred
R0130,SK001,preferred
R0131,SK025,core
R0131,SK029,core
R0131,SK027,core
R0131,SK030,preferred
R0131,SK001,preferred
R0132,SK025,core
R0132,SK014,core
R0132,SK026,core
R0132,SK029,core
R0132,SK027,core
R0132,SK001,preferred
R0132,SK009,preferred
R0133,SK025,core
R0133,SK014,core
R0133,SK026,core
R0133,SK029,core
R0133,SK027,core
R0133,SK030,preferred
R0133,SK009,preferred
R0133,SK028,preferred
R0134,SK025,core
R0134,SK029,core
R0134,SK027,core
R0134,SK013,core
R0134,SK001,preferred
R0134,SK011,preferred
R0134,SK028,preferred
R0135,SK025,core
R0135,SK029,core
R0135,SK027,core
R0135,SK030,preferred
R0135,SK011,preferred
R0135,SK028,preferred
R0136,SK025,core
R0136,SK014,core
R0136,SK026,core
R0136,SK029,core
R0136,SK027,core
R0136,SK013,core
R0137,SK025,core
R0137,SK026,core
R0137,SK029,core
R0137,SK027,core
R0137,SK030,preferred
R0137,SK009,preferred
R0138,SK025,core
R0138,SK014,core
R0138,SK026,core
R0138,SK029,core
R0138,SK011,preferred
R0138,SK009,preferred
R0139,SK025,core
R0139,SK014,core
R0139,SK026,core
R0139,SK013,core
R0139,SK030,preferred
R0139,SK011,preferred
R0139,SK028,preferred
R0140,SK025,core
R0140,SK014,core
R0140,SK026,core
R0140,SK029,core
R0140,SK027,core
R0140,SK013,core
R0140,SK030,preferred
R0140,SK011,preferred
R0140,SK009,preferred
R0141,SK025,core
R0141,SK014,core
R0141,SK027,core
R0141,SK009,preferred
R0141,SK028,preferred
R0142,SK025,core
R0142,SK014,core
R0142,SK026,core
R0142,SK027,core
R0142,SK013,core
R0142,SK030,preferred
R0142,SK011,preferred
R0142,SK009,preferred
R0143,SK025,core
R0143,SK014,core
R0143,SK026,core
R0143,SK029,core
R0143,SK013,core
R0143,SK030,preferred
R0143,SK001,preferred
R0143,SK028,preferred
R0144,SK025,core
R0144,SK014,core
R0144,SK026,core
R0144,SK029,core
R0144,SK027,core
R0144,SK030,preferred
R0145,SK025,core
R0145,SK014,core
R0145,SK026,core
R0145,SK013,core
R0145,SK009,preferred
R0146,SK045,core
R0146,SK002,core
R0146,SK013,core
R0146,SK008,core
R0146,SK015,preferred
R0146,SK005,preferred
R0147,SK045,core
R0147,SK013,core
R0147,SK015,preferred
R0148,SK045,core
R0148,SK013,core
R0148,SK008,core
R0149,SK045,core
R0149,SK002,core
R0149,SK013,core
R0150,SK045,core
R0150,SK002,core
R0150,SK013,core
R0150,SK015,preferred
R0151,SK045,core
R0151,SK008,core
R0151,SK022,preferred
R0152,SK045,core
R0152,SK002,core
R0152,SK013,core
R0153,SK045,core
R0153,SK013,core
R0153,SK008,core
R0153,SK015,preferred
R0153,SK022,preferred
R0154,SK045,core
R0154,SK002,core
R0154,SK013,core
R0154,SK022,preferred
R0155,SK045,core
R0155,SK002,core
R0155,SK015,preferred
R0155,SK005,preferred
R0155,SK009,preferred
R0156,SK002,core
R0156,SK008,core
R0156,SK015,preferred
R0157,SK045,core
R0157,SK013,core
R0157,SK015,preferred
R0157,SK009,preferred
R0158,SK045,core
R0158,SK013,core
R0158,SK015,preferred
R0159,SK045,core
R0159,SK002,core
R0159,SK015,preferred
R0159,SK022,preferred
R0159,SK005,preferred
R0159,SK009,preferred
R0160,SK002,core
R0160,SK013,core
R0160,SK022,preferred
R0161,SK045,core
R0161,SK002,core
R0161,SK013,core
R0161,SK008,core
R0162,SK001,core
R0162,SK013,core
R0162,SK008,preferred
R0162,SK014,preferred
R0163,SK001,core
R0163,SK013,core
R0163,SK007,preferred
R0164,SK013,core
R0164,SK015,preferred
R0164,SK007,preferred
R0165,SK001,core
R0165,SK015,preferred
R0165,SK007,preferred
R0165,SK029,preferred
R0166,SK001,core
R0166,SK015,preferred
R0166,SK029,preferred
R0167,SK013,core
R0167,SK015,preferred
R0167,SK008,preferred
R0168,SK001,core
R0168,SK013,core
R0168,SK015,preferred
R0168,SK007,preferred
R0169,SK001,core
R0169,SK015,preferred
R0169,SK008,preferred
R0169,SK025,preferred
R0170,SK001,core
R0170,SK015,preferred
R0170,SK025,preferred
R0171,SK001,core
R0171,SK013,core
R0171,SK008,preferred
R0171,SK014,preferred
R0172,SK001,core
R0172,SK013,core
R0172,SK008,preferred
R0173,SK015,preferred
R0173,SK007,preferred
R0173,SK025,preferred
R0174,SK001,core
R0174,SK013,core
R0174,SK007,preferred
R0174,SK014,preferred
R0175,SK001,core
R0175,SK013,core
R0175,SK008,preferred
R0175,SK029,preferred
R0175,SK014,preferred
R0176,SK003,core
R0176,SK010,core
R0176,SK014,core
R0176,SK008,preferred
R0176,SK011,preferred
R0176,SK001,preferred
R0177,SK003,core
R0177,SK010,core
R0177,SK014,core
R0177,SK008,preferred
R0177,SK011,preferred
R0178,SK003,core
R0178,SK014,core
R0178,SK008,preferred
R0178,SK013,preferred
R0178,SK011,preferred
R0178,SK001,preferred
R0179,SK003,core
R0179,SK010,core
R0179,SK008,preferred
R0179,SK011,preferred
R0180,SK003,core
R0180,SK010,core
R0180,SK014,core
R0180,SK011,preferred
R0180,SK001,preferred
R0181,SK003,core
R0181,SK014,core
R0181,SK008,preferred
R0181,SK013,preferred
R0182,SK003,core
R0182,SK014,core
R0182,SK008,preferred
R0182,SK013,preferred
R0183,SK003,core
R0183,SK010,core
R0183,SK014,core
R0183,SK013,preferred
R0184,SK003,core
R0184,SK010,core
R0184,SK013,preferred
R0185,SK003,core
R0185,SK010,core
R0185,SK014,core
R0185,SK008,preferred
R0185,SK001,preferred
R0186,SK003,core
R0186,SK014,core
R0186,SK008,preferred
R0186,SK011,preferred
R0186,SK001,preferred
R0187,SK003,core
R0187,SK010,core
R0187,SK014,core
R0187,SK008,preferred
R0187,SK013,preferred
R0187,SK001,preferred
R0188,SK003,core
R0188,SK010,core
R0188,SK014,core
R0188,SK013,preferred
R0189,SK003,core
R0189,SK010,core
R0189,SK014,core
R0189,SK001,preferred
R0190,SK003,core
R0190,SK010,core
R0190,SK014,core
R0190,SK011,preferred
R0190,SK001,preferred
R0191,SK022,core
R0191,SK007,preferred
R0191,SK046,preferred
R0192,SK013,core
R0192,SK046,preferred
R0192,SK008,preferred
R0193,SK022,core
R0193,SK013,core
R0193,SK046,preferred
R0193,SK001,preferred
R0193,SK008,preferred
R0194,SK022,core
R0194,SK013,core
R0194,SK007,preferred
R0194,SK001,preferred
R0195,SK022,core
R0195,SK007,preferred
R0195,SK005,preferred
R0195,SK046,preferred
R0195,SK001,preferred
R0196,SK004,core
R0196,SK005,preferred
R0196,SK046,preferred
R0196,SK008,preferred
R0197,SK004,core
R0197,SK013,core
R0197,SK007,preferred
R0197,SK015,preferred
R0197,SK001,preferred
R0198,SK004,core
R0198,SK007,preferred
R0198,SK046,preferred
R0198,SK001,preferred
R0199,SK022,core
R0199,SK005,preferred
R0199,SK015,preferred
R0199,SK001,preferred
R0200,SK007,preferred
R0200,SK015,preferred
R0200,SK046,preferred
R0200,SK001,preferred
R0200,SK008,preferred
R0201,SK004,core
R0201,SK013,core
R0201,SK007,preferred
R0201,SK005,preferred
R0201,SK015,preferred
R0201,SK046,preferred
R0201,SK001,preferred
R0201,SK008,preferred
R0202,SK015,preferred
R0202,SK046,preferred
R0202,SK001,preferred
R0203,SK022,core
R0203,SK005,preferred
R0203,SK015,preferred
R0203,SK046,preferred
R0203,SK008,preferred
R0204,SK005,preferred
R0204,SK046,preferred
R0204,SK008,preferred
