role_id,company_id,role_family,year,location
R0128,C010,DevOps Engineer,2022,Chennai
R0129,C028,DevOps Engineer,2022,Delhi NCR
R0130,C030,DevOps Engineer,2022,Remote
R0131,C001,DevOps Engineer,2026,Chennai
R0132,C015,DevOps Engineer,2023,Chennai
R0133,C030,DevOps Engineer,2023,Mumbai
R0134,C017,DevOps Engineer,2022,Chennai
R0135,C023,DevOps Engineer,2026,Bengaluru
R0136,C011,DevOps Engineer,2025,Hyderabad
R0137,C003,DevOps Engineer,2025,Bengaluru
R0138,C004,DevOps Engineer,2026,Remote
R0139,C029,DevOps Engineer,2023,Hyderabad
R0140,C018,DevOps Engineer,2024,Bengaluru
R0141,C030,DevOps Engineer,2026,Delhi NCR
R0142,C030,DevOps Engineer,2026,Mumbai
R0143,C027,DevOps Engineer,2025,Pune
R0144,C006,DevOps Engineer,2023,Mumbai
R0145,C018,DevOps Engineer,2023,Chennai
R0146,C008,Mobile Engineer,2023,Pune
R0147,C026,Mobile Engineer,2022,Pune
R0148,C023,Mobile Engineer,2026,Chennai
R0149,C008,Mobile Engineer,2023,Bengaluru
R0150,C011,Mobile Engineer,2024,Hyderabad
R0151,C030,Mobile Engineer,2026,Bengaluru
R0152,C016,Mobile Engineer,2025,Chennai
R0153,C015,Mobile Engineer,2023,Pune
R0154,C016,Mobile Engineer,2024,Bengaluru
R0155,C025,Mobile Engineer,2022,Chennai
R0156,C001,Mobile Engineer,2024,Remote
R0157,C027,Mobile Engineer,2026,Hyderabad
R0158,C030,Mobile Engineer,2022,Hyderabad
R0159,C022,Mobile Engineer,2024,Remote
R0160,C015,Mobile Engineer,2024,Mumbai
R0161,C025,Mobile Engineer,2022,Chennai
R0162,C023,QA Engineer,2026,Pune
R0163,C004,QA Engineer,2023,Hyderabad
R0164,C021,QA Engineer,2024,Bengaluru
R0165,C008,QA Engineer,2025,Bengaluru
R0166,C013,QA Engineer,2026,Delhi NCR
R0167,C017,QA Engineer,2026,Delhi NCR
R0168,C015,QA Engineer,2023,Remote
R0169,C014,QA Engineer,2022,Delhi NCR
R0170,C024,QA Engineer,2026,Pune
R0171,C018,QA Engineer,2026,Remote
R0172,C020,QA Engineer,2023,Bengaluru
R0173,C009,QA Engineer,2024,Delhi NCR
R0174,C024,QA Engineer,2024,Mumbai
R0175,C020,QA Engineer,2024,Mumbai
R0176,C007,Embedded Engineer,2022,Pune
R0177,C011,Embedded Engineer,2025,Bengaluru
R0178,C003,Embedded Engineer,2023,Hyderabad
R0179,C003,Embedded Engineer,2026,Hyderabad
R0180,C001,Embedded Engineer,2023,Chennai
R0181,C024,Embedded Engineer,2022,Bengaluru
R0182,C022,Embedded Engineer,2025,Mumbai
R0183,C028,Embedded Engineer,2025,Chennai
R0184,C030,Embedded Engineer,2025,Hyderabad
R0185,C023,Embedded Engineer,2023,Bengaluru
R0186,C007,Embedded Engineer,2024,Mumbai
R0187,C006,Embedded Engineer,2022,Mumbai
R0188,C008,Embedded Engineer,2024,Chennai
R0189,C006,Embedded Engineer,2023,Delhi NCR
R0190,C015,Embedded Engineer,2023,Mumbai
R0191,C007,Product Engineer,2022,Delhi NCR
R0192,C023,Product Engineer,2023,Chennai
R0193,C011,Product Engineer,2024,Delhi NCR
R0194,C024,Product Engineer,2023,Bengaluru
R0195,C022,Product Engineer,2022,Pune
R0196,C001,Product Engineer,2022,Remote
R0197,C002,Product Engineer,2025,Hyderabad
R0198,C006,Product Engineer,2023,Hyderabad
R0199,C007,Product Engineer,2022,Chennai
R0200,C002,Product Engineer,2022,Remote
R0201,C008,Product Engineer,2024,Hyderabad
R0202,C025,Product Engineer,2022,Pune
R0203,C021,Product Engineer,2025,Delhi NCR
R0204,C015,Product Engineer,2022,Bengaluru
